,PH_5.5,PH_6.0,PH_6.5,PH_7.0,temp_20,temp_25,ventilation_1,ventilation_2,ventilation_3,stir_200,stir_400,feeding_8,feeding_16,sugar_100,sugar_300,sugar_500,label
4.2,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,9
5.2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,7
6.2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,5
16.1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,11
17.1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,10
23.1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,3
24.1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2
25.1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,8
26.1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,4
27.1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,12
28.1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,6
29.1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0
30.1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1
